#imię,nazwisko,przew.,sekr.,rec_hab.,człon.,rec_prof.,razem,kiedykolwiek w CK,sc. field 22
Józef,Spałek,1,0,4,0,1,6,0,Physics & Astronomy
Janusz,Marcinkiewicz,0,0,4,0,2,6,0,Clinical Medicine
Bogumił,Jeziorski,0,0,4,1,1,6,0,Physics & Astronomy
Tadeusz,Holak,0,0,0,1,4,5,0,Biomedical Research
Grzegorz,Pojmański,0,0,1,3,1,5,0,Physics & Astronomy
Jacek,Dziarmaga,0,0,5,0,0,5,0,Physics & Astronomy
Piotr,Kuna,1,0,2,2,0,5,0,Clinical Medicine
Marzena,Kryszkiewicz,0,0,2,2,1,5,0,Information & Communication Technologies
Wojciech,Florkowski,0,2,2,1,0,5,0,Physics & Astronomy
Aleksander,Jabłoński,1,0,1,3,0,5,0,Physics & Astronomy
Marcin,Kruszewski,0,0,3,0,2,5,0,Biomedical Research
Rafał,Weron,0,0,0,5,0,5,0,Physics & Astronomy
Andrzej,Szytuła,2,0,2,0,1,5,0,Physics & Astronomy
Bohdan,Grządkowski,0,0,2,2,1,5,0,Physics & Astronomy
Piotr,Garstecki,0,0,4,0,1,5,0,Physics & Astronomy
Jan,Lubiński,0,0,3,0,2,5,0,Clinical Medicine
Józef,Barnaś,0,0,2,3,0,5,0,Physics & Astronomy
Tadeusz,Krygowski,0,0,3,1,0,4,1,Chemistry
Stanisław,Jadach,1,0,1,1,1,4,0,Physics & Astronomy
Daniel,Simson,1,0,1,1,1,4,0,Mathematics & Statistics
Wiesław,Staszewski,0,0,2,2,0,4,0,Enabling & Strategic Technologies
Beata,Walczak,0,0,2,0,2,4,0,Chemistry
Romuald,Janik,0,0,3,0,1,4,0,Physics & Astronomy
Witold,Zatoński,1,0,2,0,1,4,0,Clinical Medicine
Jan,Kozłowski,0,0,2,1,1,4,0,Biology
Jerzy,Falandysz,1,0,0,1,2,4,0,Earth & Environmental Sciences
Wojciech,Rytter,0,0,1,2,1,4,0,Information & Communication Technologies
Zdzisław,Pawlak,0,0,1,2,0,3,0,Information & Communication Technologies
Michał,Szymański,0,1,2,0,0,3,0,Physics & Astronomy
Mikołaj,Misiak,0,1,1,1,0,3,0,Physics & Astronomy
Paweł,Horodecki,0,0,2,0,1,3,0,Physics & Astronomy
Włodzimierz,Ogryczak,0,0,1,1,1,3,0,Engineering
Stanisław,Woronowicz,0,0,1,1,1,3,0,Physics & Astronomy
Roman,Nalewajski,0,0,3,0,0,3,0,Physics & Astronomy
Piotr,Jaranowski,1,0,1,1,0,3,0,Physics & Astronomy
Jan,Potempa,0,0,1,0,2,3,0,Biomedical Research
Janusz,Rosiak,0,0,2,0,1,3,0,Physics & Astronomy
Jerzy,Bełtowski,0,0,2,1,0,3,0,Clinical Medicine
Grzegorz,Racki,0,0,2,0,1,3,0,Earth & Environmental Sciences
Jan,Antosiewicz,0,0,2,1,0,3,0,Biomedical Research
Iwan,Kityk,0,0,2,1,0,3,0,Physics & Astronomy
Roman,Słowiński,0,0,1,1,0,2,0,Information & Communication Technologies
Robert,Kudrawiec,0,0,0,2,0,2,0,Physics & Astronomy
Piotr,Chankowski,1,0,1,0,0,2,0,Physics & Astronomy
Grzegorz,Pietrzyński,0,0,1,0,1,2,0,Physics & Astronomy
Waldemar,Turski,0,0,1,1,0,2,0,Clinical Medicine
Wiesław,Jędrychowski,0,0,1,1,0,2,0,Clinical Medicine
Paweł,Haensel,0,0,1,0,1,2,0,Physics & Astronomy
Andrzej,Huczko,0,0,2,0,0,2,0,Physics & Astronomy
Ryszard,Horodecki,0,0,0,0,2,2,0,Physics & Astronomy
Marek,Krawczuk,0,1,1,0,0,2,0,Enabling & Strategic Technologies
Marek,Kosmulski,0,0,1,0,1,2,0,Physics & Astronomy
Adam,Szewczyk,0,0,1,0,1,2,0,Biomedical Research
Alfred,Uchman,0,0,0,0,2,2,0,Earth & Environmental Sciences
Alina,Sionkowska,0,0,1,0,1,2,0,Chemistry
Igor,Soszyński,1,0,1,0,0,2,0,Physics & Astronomy
Piotr,Chomczyński,0,1,0,0,0,1,0,Clinical Medicine
Ludwik,Malendowicz,0,0,0,0,1,1,0,Clinical Medicine
Czesław,Rudowicz,0,0,1,0,0,1,0,Physics & Astronomy
Wojciech,Dziembowski,0,0,0,1,0,1,0,Physics & Astronomy
Tadeusz,Sawik,0,0,0,0,1,1,0,Engineering
Bernard,Korzeniewski,0,0,1,0,0,1,0,Biomedical Research
Tomasz,Dietl,0,0,0,0,1,1,0,Physics & Astronomy
Jerzy,Krupka,0,0,0,1,0,1,0,Physics & Astronomy
Keshra,Sangwal,0,0,1,0,0,1,0,Physics & Astronomy
Jacek,Koput,0,0,1,0,0,1,0,Physics & Astronomy
Krzysztof,Ginalski,0,0,1,0,0,1,0,Biomedical Research
Jan,Augustyński,0,0,0,0,1,1,0,Enabling & Strategic Technologies
Henryk,Matusiewicz,0,0,0,0,1,1,0,Chemistry
Wojciech,Kostowski,0,1,0,0,0,1,0,Clinical Medicine
Patryk,Oleszczuk,0,0,1,0,0,1,0,Earth & Environmental Sciences
Maciej,Zalewski,0,0,1,0,0,1,0,Biology
Tadeusz,Kaczorek,0,0,0,0,0,0,1,Engineering
Grzegorz,Wegrzyn,0,0,0,0,0,0,0,Biomedical Research
François,Béguin,0,0,0,0,0,0,0,Enabling & Strategic Technologies
Stefan,Pokorski,0,0,0,0,0,0,0,Physics & Astronomy
Adam,Janiak,0,0,0,0,0,0,0,Engineering
Stefania,Jabłońska,0,0,0,0,0,0,0,Clinical Medicine
Stanisław,Sieniutycz,0,0,0,0,0,0,0,Engineering
Andrzej,Szczeklik,0,0,0,0,0,0,0,Clinical Medicine
Marek,Samoc,0,0,0,0,0,0,0,Physics & Astronomy
Zbigniew,Gliwicz,0,0,0,0,0,0,0,Biology
Agata,Michalska,0,0,0,0,0,0,0,Chemistry
Włodzimierz,Kołos,0,0,0,0,0,0,0,Physics & Astronomy
Andrzej,Białas,0,0,0,0,0,0,0,Physics & Astronomy
Wojciech,Grochała,0,0,0,0,0,0,0,Chemistry
Andrzej,Kudelski,0,0,0,0,0,0,0,Physics & Astronomy
Andrzej,Lewenstam,0,0,0,0,0,0,0,Chemistry
Andrzej,Sadlej,0,0,0,0,0,0,0,Physics & Astronomy
Emil,Chibowski,0,0,0,0,0,0,0,Physics & Astronomy
Andrzej,Udalski,0,0,0,0,0,0,0,Physics & Astronomy
Vladimir,Korzh,0,0,0,0,0,0,0,Biomedical Research
Urszula,Domańska,0,0,0,0,0,0,0,Engineering
Andrzej,Zdziarski,0,0,0,0,0,0,0,Physics & Astronomy
Tomasz,Taylor,0,0,0,0,0,0,0,Physics & Astronomy
Barbara,Krajewska,0,0,0,0,0,0,0,Chemistry
Bożena,Kamińska,0,0,0,0,0,0,0,Clinical Medicine
Dominik,Ślȩzak,0,0,0,0,0,0,0,Information & Communication Technologies
Lutosław,Wolniewicz,0,0,0,0,0,0,0,Physics & Astronomy
Lech,Wojtczak,0,0,0,0,0,0,0,Biomedical Research
Lechosław,Latos-Grażyński,0,0,0,0,0,0,0,Chemistry
Paweł,Kozłowski,0,0,0,0,0,0,0,Physics & Astronomy
Leslie,Kozak,0,0,0,0,0,0,0,Biomedical Research
Lesław,Bieniasz,0,0,0,0,0,0,0,Enabling & Strategic Technologies
Pasi,Huovinen,0,0,0,0,0,0,0,Physics & Astronomy
Nestor,Oszczypko,0,0,0,0,0,0,0,Earth & Environmental Sciences
Mirosław.,Czarnecki,0,0,0,0,0,0,0,Chemistry
Mirosław,Szafran,0,0,0,0,0,0,0,Chemistry
Krzysztof,Wódkiewicz,0,0,0,0,0,0,0,Physics & Astronomy
Maciej,Malecki,0,0,0,0,0,0,0,Clinical Medicine
Magda,Kucia,0,0,0,0,0,0,0,Clinical Medicine
Michael,Giersig,0,0,0,0,0,0,0,Physics & Astronomy
Małgorzata,Zdzienicka,0,0,0,0,0,0,0,Biomedical Research
Magdalena,Pecul,0,0,0,0,0,0,0,Physics & Astronomy
Marian,Kaźmierkowski,0,0,0,0,0,0,0,Engineering
Maria,Ziołek,0,0,0,0,0,0,0,Chemistry
Maria,Majewska,0,0,0,0,0,0,0,Clinical Medicine
Marc-André,Selosse,0,0,0,0,0,0,0,Biology
Ray,Macdonald,0,0,0,0,0,0,0,Earth & Environmental Sciences
Stanisław,Konturek,0,0,0,0,0,0,0,Clinical Medicine
Helena,Dodziuk,0,0,0,0,0,0,0,Chemistry
Ryszard,Gryglewski,0,0,0,0,0,0,0,Clinical Medicine
Jacek,Tejchman,0,0,0,0,0,0,0,Engineering
Roman,Leboda,0,0,0,0,0,0,0,Physics & Astronomy
Roland,Boese,0,0,0,0,0,0,0,Chemistry
Jan,Kwieciński,0,0,0,0,0,0,0,Physics & Astronomy
Janusz,Blasiak,0,0,0,0,0,0,0,Clinical Medicine
Janusz,Kałużny,0,0,0,0,0,0,0,Physics & Astronomy
Harald,Walach,0,0,0,0,0,0,0,Clinical Medicine
Jarogniew.,Łuszczki,0,0,0,0,0,0,0,Clinical Medicine
Jean-Pierre,Lasota,0,0,0,0,0,0,0,Physics & Astronomy
Piotr,Ponikowski,0,0,0,0,0,0,0,Clinical Medicine
Piotr,Lewicki,0,0,0,0,0,0,0,"Agriculture, Fisheries & Forestry"
Jerzy,Datka,0,0,0,0,0,0,0,Chemistry
Klaus-Dieter,Asmus,0,0,0,0,0,0,0,Chemistry
Piotr,Bizoń,0,0,0,0,0,0,0,Physics & Astronomy
Peter,Nijkamp,0,0,0,0,0,0,0,Economics & Business 
