Liczba członków CK w KH	Imię habilitant(a/ka)	Nazwisko habilitant(a/ki)	nr postępowania	dziedzina	url	Członkowie CK			
4	ARLETA	SZADZIEWSKA	2-L-6982-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/63826/attachment/beaaa5/Decyzja.pdf	Krzysztof Jajuga	Małgorzata Zaleska	Stanisław Owsiak	Wiesława Przybylska-Kapuścińska
4	ELŻBIETA	WOJNICKA-SYCZ	2-L-6654-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/74358/attachment/e1abdb/Wojnicka%20Sycz%20Elzbieta.pdf	Andrzej Wojtyna	Krzysztof Jajuga	Tadeusz Stryjakiewicz	Witold Jurek
4	KAROLINA MAGDALENA	PAWLAK	2-L-6389-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/75917/attachment/1b24d0/Pawlak%20Karolina.pdf	Andrzej Czyżewski	Andrzej Wojtyna	Krzysztof Jajuga	Maria Romanowska
4	IZABELA	KOŁADKIEWICZ	2-L-6788-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/73595/attachment/f51312/Ko%C5%82adkiewicz%20Izabela.pdf	Bogdan Nogalski	Krzysztof Jajuga	Maria Romanowska	Mariusz Bratnicki
4	JADWIGA	BOŻEK	2-L-7016-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/43839/attachment/dfb648/2.pdf	Andrzej Czyżewski	Czesław Domański	Tadeusz Stryjakiewicz	Witold Jurek
4	TADEUSZ	FALENCIKOWSKI	2-L-6609-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/74291/attachment/eb54c0/Falencikowski%20Tadeusz.pdf	Jan Jasiczak	Maria Romanowska	Mariusz Bratnicki	Ryszard Borowiecki
4	MARCIN	KOLASA	2-L-7045-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/28102/attachment/84bcfb/x.pdf	Andrzej Wojtyna	Czesław Domański	Jacek Osiewalski	Witold Jurek
4	JOANNA	GÓRKA	2-L-6701-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/63872/attachment/93d088/Decyzja.pdf	Czesław Domański	Jacek Osiewalski	Mariusz Bratnicki	Stanisław Owsiak
4	ANDRZEJ	KOZŁOWSKI	2-L-6267-2013	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Maria Romanowska	Mariusz Bratnicki	Stanisław Owsiak
4	DANIEL	PODGÓRSKI	2-L-6664-2012	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Maria Romanowska	Mariusz Bratnicki	Ryszard Borowiecki
4	MIROSŁAW	LASZCZAK	2-L-6583-2013	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Maria Romanowska	Ryszard Borowiecki	Stanisław Owsiak
4	JANUSZ	FUDALIŃSKI	2-L-6464-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/74116/attachment/25e12a/Fudalinski%20Janusz.pdf	Bogdan Nogalski	Jan Jasiczak	Maria Romanowska	Mariusz Bratnicki
4	LESZEK	MORAWSKI	2-L-6919-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/48572/attachment/d10e35/z.pdf	Jacek Osiewalski	Krzysztof Jajuga	Stanisław Owsiak	Witold Jurek
4	MAŁGORZATA	RUTKOWSKA-PODOŁOWSKA	2-L-6265-2013	dz. nauk ekonomicznych	Other source	Krzysztof Jajuga	Maria Romanowska	Małgorzata Zaleska	Wiesława Przybylska-Kapuścińska
4	TOMASZ SŁAWOMIR	BERENT	2-L-6959-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/73766/attachment/e45be5/Berent%20Tomasz.pdf	Krzysztof Jajuga	Stanisław Owsiak	Wiesława Przybylska-Kapuścińska	Witold Jurek
4	ELIGIUSZ	NOWAKOWSKI	2-L-6726-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/75848/attachment/fcec9a/Nowakowski%20Eligiusz.pdf	Krzysztof Jajuga	Małgorzata Zaleska	Stanisław Owsiak	Wiesława Przybylska-Kapuścińska
4	ANDRZEJ	JAKI	2-L-66799-2012	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Jan Jasiczak	Maria Romanowska	Mariusz Bratnicki
4	DOMINIK	KOPIŃSKI	2-L-6766-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/35364/attachment/80f0f0/zal2.compressed.pdf	Andrzej Czyżewski	Andrzej Wojtyna	Jan Jasiczak	Tadeusz Stryjakiewicz
4	BARBARA	GRZYBOWSKA	2-L-6317-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/41368/attachment/f3c0ec/2.pdf	Andrzej Czyżewski	Andrzej Wojtyna	Tadeusz Stryjakiewicz	Witold Jurek
4	KRZYSZTOF	PIECH	2-L-6891-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/37945/attachment/feec44/zal2.compressed.pdf	Bogdan Nogalski	Czesław Domański	Jacek Osiewalski	Witold Jurek
4	MACIEJ	PIETRZYKOWSKI	2-L-6558-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/41165/attachment/a4d2d0/2.pdf	Andrzej Wojtyna	Krzysztof Jajuga	Małgorzata Zaleska	Stanisław Owsiak
4	RAFAŁ	PRUSAK	2-L-6417-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/47306/attachment/517ae4/2.pdf	Bogdan Nogalski	Maria Romanowska	Mariusz Bratnicki	Małgorzata Zaleska
4	KRZYSZTOF HENRYK	SZEWCZAK	2-L-6827-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/46659/attachment/794814/2.pdf	Bogdan Nogalski	Jan Jasiczak	Maria Romanowska	Mariusz Bratnicki
4	BARTOSZ	MICHALSKI	2-L-6744-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/35425/attachment/bb3845/zal2.compressed.pdf	Andrzej Czyżewski	Andrzej Wojtyna	Małgorzata Zaleska	Tadeusz Stryjakiewicz
4	ADAM	BASZYŃSKI	2-L-6345-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/43006/attachment/1de1e8/2.pdf	Jacek Osiewalski	Krzysztof Jajuga	Małgorzata Zaleska	Stanisław Owsiak
4	PAWEŁ	FILIPOWICZ	2-L-6628-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/41479/attachment/3fb36c/2.pdf	Bogdan Nogalski	Jan Jasiczak	Maria Romanowska	Mariusz Bratnicki
